"Board Code","License Type Code","Licensee Name","Rank Code","Modifier Code","Mailing Name","Mailing Street Address","Mailing Address Line 2","Mailing Address Line 3","Mailing City","Mailing State Code","Mailing Zip Code","Primary Phone Number","Mailing County Code","Business Name","Filler","Location Street Address","Location Address Line 2","Location Address Line 3","Location City","Location State Code","Location Zip Code","Location County Code","Location County","Secondary Phone Number","District","Region","License Number","Primary Status Code","Secondary Status Code","License Expiry Date","Last Inspection Date","Number of Seats or Rental Units","Base Risk Level","Secondary Risk Level"
"200","2010","A G B CORP","SEAT","","AGB CORP ","PO BOX 9008","","","PANAMA CITY BEACH","FL","324179008","","13","ANGELOS STEAK PIT","","9527 W HWY 98","","","PANAMA CITY BCH","FL","324074149","13","Bay","(850)234-2913","6","07","SEA1300134","20","20","06/01/2026","06/04/2025","500","Risk Level 2",""
"200","2010","ADAMS DON W","SEAT","","","900 W 23 ST","","","PANAMA CITY","FL","32405","850.763.3554","13","CHICK-FIL-A","","900 W 23 ST","","","PANAMA CITY","FL","32405","13","Bay","850-481-1311","6","08","SEA1304618","20","20","06/01/2026","11/19/2024","149","Risk Level 2",""
"200","2010","BAY POINT YACHT CLUB INC (THE)","SEAT","","THE BAY POINT YACHT CLUB INC","PO BOX 27514","","","PANAMA CITY BEACH","FL","32411","850-774-2632","13","BAY POINT YACHT CLUB (THE)","","3820 HATTERAS LANE","","","PANAMA CITY BEACH","FL","32408","13","Bay","850-774-2632","6","08","SEA1304850","20","20","06/01/2026","11/19/2024","102","Risk Level 1",""
"200","2010","BEVIS RANDALL S","SEAT","","RANDALL BEVIS S","281 N STAR AVE","","","PANAMA CITY","FL","32404","","13","JR'S RIB SHACK","","281 N STAR AVE","","","CALLAWAY","FL","32404","13","Bay","850-871-5601","6","16","SEA1304971","20","20","06/01/2026","05/20/2025","70","Risk Level 2",""
"200","2010","BILLYS STEAMER&OYSTER BAR INC","SEAT","","","3000 THOMAS DR","","","PANAMA CITY BCH","FL","324086229","(850)235-2349","13","BILLY'S OYSTER BAR","","3000 THOMAS DR","","","PANAMA CITY BCH","FL","324086229","13","Bay","(850)235-2349","6","08","SEA1302273","20","20","06/01/2026","01/27/2025","155","Risk Level 2",""
"200","2010","BOON DOCKS RESTAURANT INC","SEAT","","","14854 BAY VIEW CIR","","","PANAMA CITY BCH","FL","32413","850-230-0005","13","BOON DOCKS RESTAURANT","","14854 BAY VIEW CIR","","","PANAMA CITY BCH","FL","32413","13","Bay","850-230-0005","6","07","SEA1304603","20","20","06/01/2026","04/30/2025","125","Risk Level 2",""
"200","2010","BRANCH'S OF PANAMA CITY INC","SEAT","","Johnny Branch","2816  BRIARCLIFF ROAD","","","PANAMA CITY","FL","32405","850-866-3371","13","TALLY HO DRIVE IN REST","","1449 HARRISON AVE","","","PANAMA CITY","FL","324012209","13","Bay","(850)769-2437","6","16","SEA1300103","20","20","06/01/2026","04/03/2025","24","Risk Level 2",""
"200","2010","CANTRELL FOODS LLC","SEAT","","","103 23 ST STE E9","","","PANAMA CITY","FL","32405","5229933","13","GRANNY CANTRELL'S","","103 23 ST STE E9","","","PANAMA CITY","FL","32405","13","Bay","5229933","6","08","SEA1304791","20","20","06/01/2026","01/31/2025","140","Risk Level 2",""
"200","2010","CATERING BY BOB LLC","NOST","","CATERING BY BOB ","309 LIDDON PL","","","LYNN HAVEN","FL","32444","","13","CATERING BY BOB","","1530 FLORIDA AVE","","","PANAMA CITY","FL","32401","13","Bay","8327074","6","08","NOS1305062","20","20","06/01/2026","01/24/2025","0","Risk Level 2",""
"200","2010","CHAUDHRY INC","SEAT","","","11770 HAYNES BRIDGE RD STE 205-355","","","ALPHARETTA","GA","30009","770-696-1746","710","SUBWAY","","7714 FRONT BEACH RD","","","PANAMA CITY BEACH","FL","32407","13","Bay","2353957","6","07","SEA1304756","20","20","06/01/2026","02/14/2025","28","Risk Level 1",""
"200","2010","CHAUDRY INC","SEAT","","","11770 HAYNES BRIDGE RD STE 205-355","","","ALPHARETTA","GA","30009","","710","SUBWAY #17185","","2521 THOMAS DR","","","PANAMA CITY BCH","FL","324086252","13","Bay","(850)233-5767","6","08","SEA1304404","20","20","06/01/2026","11/19/2024","20","Risk Level 1",""
"200","2010","CHICK-FIL-A","SEAT","","","401  N TYNDALL PKWY","","","PANAMA CITY","FL","32404","850-872-1512","13","CHICK-FIL-A @ TYNDALL PKWY","","401 N TYNDALL PKWY","","","CALLAWAY","FL","32404","13","Bay","850.872.1512","6","16","SEA1304633","20","20","06/01/2026","06/10/2025","66","Risk Level 2",""
"200","2010","CORAM'S STEAK & EGG INC","SEAT","","","804 S TYNDALL PKWY","","","PARKER","FL","324046930","(850)763-3447","13","CORAM'S STEAK & EGG","","804 S TYNDALL PKWY","","","PARKER","FL","324046930","13","Bay","(850)763-3447","6","16","SEA1304101","45","20","06/01/2025","02/18/2025","60","Risk Level 2",""
"200","2010","D J ENTERPRISES OF PANAMA CITY","SEAT","","D J ENTERPRISES OF PC INC","P O BOX 20275","","","PANAMA CITY","FL","32417","","13","TACO BELL","","434 S TYNDALL PKWY","","","PANAMA CITY","FL","32404","13","Bay","(850)784-3008","6","16","SEA1303649","20","20","06/01/2026","12/19/2024","80","Risk Level 2",""
"200","2010","D J ENTERPRISES OF PC INC","SEAT","","DJ ENTERPRISES OF PC INC","P O BOX 20275","","","PANAMA CITY","FL","32417","","13","TACO BELL","","7040 W HWY 98","","","PANAMA CITY BCH","FL","324075414","13","Bay","(850)233-8480","6","07","SEA1303845","20","20","06/01/2026","03/07/2025","70","Risk Level 2",""
"200","2010","DJ ENTERPRISES OF PANAMA CITY","SEAT","","DJ ENTERPRISES OF PC INC","P O BOX 20275","","","PANAMA CITY","FL","32417","","13","TACO BELL","","17120 PANAMA CITY BEACH PKWY","","","PANAMA CITY BCH","FL","32413","13","Bay","850-236-8233","6","07","SEA1304553","20","20","06/01/2026","01/30/2025","50","Risk Level 2",""
"200","2010","EDGEWATER BEACH RESORT MGMT","SEAT","","Cathy Paddock","11212 FRONT BEACH ROAD","","","PANAMA CITY BEACH","FL","32407","8502357300","13","OCEAN'S BAR & GRILL","","11212 FRONT BEACH RD","","","PANAMA CITY BEACH","FL","32407","13","Bay","850-235-4044","6","07","SEA1304467","20","20","06/01/2026","04/14/2025","200","Risk Level 2",""
"200","2010","EDGEWATER BEACH RESORT","SEAT","","Cathy Paddock","11212 W FRONT BEACH RD","","","PANAMA CITY BEACH","FL","32407","8502357300","13","EDGEWATER BEACH RESORT CONFR","","11212 W FRONT BEACH RD","","","PANAMA CITY BCH","FL","324073603","13","Bay","(850)235-4044","6","07","SEA1303388","20","20","06/01/2026","04/14/2025","1250","Risk Level 2",""
"200","2010","FUNLAND OF PANAMA CITY INC","SEAT","","","14510 FRONT BEACH RD","","","PANAMA CITY BCH","FL","32413","(850)234-9385","13","FUNLAND LUNCH","","14510 W HWY 98","","","PANAMA CITY BCH","FL","32413","13","Bay","(850)234-9385","6","07","SEA1300206","20","20","06/01/2026","02/25/2025","50","Risk Level 2",""
"200","2010","GULF COAST WINGS INC","SEAT","","HOOTERS","4300 LEGENDARY DR UNIT C-208","","","DESTIN","FL","32541","850-654-1866","56","HOOTERS OF PCB","","12709 W HWY 98","","","PANAMA CITY BEACH","FL","32407","13","Bay","850-230-9464","6","07","SEA1300109","20","20","06/01/2026","05/30/2025","288","Risk Level 2",""
"200","2010","GULF WORLD INC","NOST","","","15412 FRONT BEACH ROAD","","","PANAMA CITY BCH","FL","32413","2345271","13","GULF WORLD MARINE PARK","","15412 FRONT BEACH ROAD","","","PANAMA CITY BCH","FL","32413","13","Bay","2345271","6","07","NOS1304770","45","20","06/01/2025","05/14/2025","0","Risk Level 1",""
"200","2010","GYRO CAFE OF PANAMA CITY SQU I","SEAT","","","665 W 23 ST","","","PANAMA CITY","FL","32405-3922","8502150910","13","GYRO CAFE","","665 W 23 ST","","","PANAMA CITY","FL","324053922","13","Bay","(850)747-8999","6","08","SEA1303828","20","20","06/01/2026","05/01/2025","72","Risk Level 2",""
"200","2010","HILTON INC","NOST","","HOLIDAY INN SUNSPREE RESORTS ","PO BOX 18049","","","PANAMA CITY","FL","324178049","","13","BAMBOO GRILL/OASIS BAR","","11127 FRONT BEACH RD","","","PANAMA CITY BEACH","FL","32407","13","Bay","(850)234-1111","6","07","NOS1304520","20","20","06/01/2026","04/24/2025","0","Risk Level 2",""
"200","2010","HILTON INC","SEAT","","HILTON INC","P O BOX 18049","","","PANAMA CITY","FL","32417","(850)769-0000","13","HOLIDAY INN RESTAURANT","","2001 COVE BLVD","","","PANAMA CITY","FL","324055316","13","Bay","(850)769-0000","6","08","SEA1302575","20","20","06/01/2026","05/30/2025","148","Risk Level 2",""
