"Board Code","License Type Code","Licensee Name","Rank Code","Modifier Code","Mailing Name","Mailing Street Address","Mailing Address Line 2","Mailing Address Line 3","Mailing City","Mailing State Code","Mailing Zip Code","Primary Phone Number","Mailing County Code","Business Name","Filler","Location Street Address","Location Address Line 2","Location Address Line 3","Location City","Location State Code","Location Zip Code","Location County Code","Location County","Secondary Phone Number","District","Region","License Number","Primary Status Code","Secondary Status Code","License Expiry Date","Last Inspection Date","Number of Seats or Rental Units","Base Risk Level","Secondary Risk Level"
"200","2010","AECT CORP","SEAT","","","4626 N FEDERAL HWY","","","LIGHTHOUSE POINT","FL","33064-6511","954.946.9240","16","LEBISTRO RESTAURANT","","4626 N FEDERAL HWY","","","LIGHTHOUSE POINT","FL","33064-6511","16","Broward","954.946.9240","2","15","SEA1600567","20","20","12/01/2025","06/17/2025","64","Risk Level 2",""
"200","2010","BASILICO INC","SEAT","","BASILICO INC","3343 E OAKLAND PARK BLVD","","","FORT LAUDERDALE","FL","33308","954.563.1418","16","CAFE MARTORANO","","3343 E OAKLAND PARK BLVD","","","FORT LAUDERDALE","FL","33308-7216","16","Broward","732.232.8782","2","12","SEA1600675","20","20","12/01/2025","05/13/2025","40","Risk Level 2",""
"200","2010","BEACHCOMBER VILLAS INC","SEAT","","","1200 S OCEAN BLVD","","","POMPANO BEACH","FL","33062-6609","954.941.7830","16","OCEAN GRILL","","1200 S OCEAN BLVD","","","POMPANO BEACH","FL","33062-6609","16","Broward","954.941.7830","2","14","SEA1601109","20","20","12/01/2025","01/27/2025","140","Risk Level 2",""
"200","2010","BENIHANA NAT OF FLA CORP","SEAT","","BENIHANA OF TOKYO","21500 BISCAYNE BLVD #900","","","AVENTURA","FL","33180","","23","BENIHANA OF TOKYO STEAK HOUSE","","4343 W TRADEWINDS AVE","","","LAUDERDALE-BY-THE-SE","FL","33308-5015","16","Broward","954.776.0111","2","12","SEA1600646","20","20","12/01/2025","04/01/2025","200","Risk Level 2",""
"200","2010","CAP'S PLACE INC","SEAT","","","PO BOX 5969","","","LIGHTHOUSE POINT","FL","33074","","16","CAP'S PLACE","","2980 NE 31 AVE","","","LIGHTHOUSE POINT","FL","33064","16","Broward","954.941.0418","2","15","SEA1600247","20","20","12/01/2025","06/24/2025","150","Risk Level 2",""
"200","2010","CAUSEWAY FOOD SYSTEMS INC","SEAT","","JEANNIE TERBENI","113 SW 11 CT STE C","","","FORT LAUDERDALE","FL","33315-1241","9547669800","16","MCDONALDS #1327","","1630 S FEDERAL HWY","","","FORT LAUDERDALE","FL","33316-2962","16","Broward","954.527.1204","2","05","SEA1601650","20","20","12/01/2025","11/19/2024","104","Risk Level 1",""
"200","2010","COMMERCIAL FOODS INCORPORATED","SEAT","","UPCHURCH MGMT CO INC","1439 SW 26 AVE #300","","","POMPANO BEACH","FL","33069-4331","954-972-2004","16","MCDONALDS #681","","1352 E COMMERCIAL BLVD","","","OAKLAND PARK","FL","33334-5723","16","Broward","954.771.7171","2","32","SEA1600963","20","20","12/01/2025","11/19/2024","60","Risk Level 1",""
"200","2010","CORAL RIDGE FOODS INC","SEAT","","UPCHURCH MANAGEMENT CO INC","1439 S POMPANO PKWY STE 300","","","POMPANO BEACH","FL","33069-4331","954-972-2004","16","MCDONALD'S #2011","","2700 N FEDERAL HWY","","","FORT LAUDERDALE","FL","33306-1424","16","Broward","954.564.2910","2","32","SEA1601787","20","20","12/01/2025","11/19/2024","60","Risk Level 1",""
"200","2010","CORAL RIDGE GOLF COURSE INC","SEAT","","JJ SEHLKE","3801 BAYVIEW DR","","","FORT LAUDERDALE","FL","33308","954-449-4400","16","CORAL RIDGE COUNTRY CLUB","","3801 BAYVIEW DR","","","FORT LAUDERDALE","FL","33308","16","Broward","954-449-4400","2","12","SEA1600954","20","20","12/01/2025","03/11/2025","252","Risk Level 2",""
"200","2010","CORAL RIDGE YACHT CLUB","SEAT","","","2800 YACHT CLUB DR","","","FORT LAUDERDALE","FL","33304-4599","954.566.7886","16","CORAL RIDGE YACHT CLUB","","2800 YACHT CLUB DR","","","FORT LAUDERDALE","FL","33304-4599","16","Broward","954.566.7886","2","11","SEA1600693","20","20","12/01/2025","02/14/2025","573","Risk Level 2",""
