"Board Code","License Type Code","Licensee Name","Rank Code","Modifier Code","Mailing Name","Mailing Street Address","Mailing Address Line 2","Mailing Address Line 3","Mailing City","Mailing State Code","Mailing Zip Code","Primary Phone Number","Mailing County Code","Business Name","Filler","Location Street Address","Location Address Line 2","Location Address Line 3","Location City","Location State Code","Location Zip Code","Location County Code","Location County","Secondary Phone Number","District","Region","License Number","Primary Status Code","Secondary Status Code","License Expiry Date","Last Inspection Date","Number of Seats or Rental Units","Base Risk Level","Secondary Risk Level"
"200","2010","BOC VAN N","SEAT","","GOLDEN BUDDHA RESTAURANT","613 NW 16 AVE","","","GAINESVILLE","FL","32601","(352)372-4282","11","GOLDEN BUDDHA RESTAURANT","","613 NW 16 AVE","","","GAINESVILLE","FL","326014035","11","Alachua","(352)372-4282","5","06","SEA1101298","20","20","06/01/2026","03/17/2025","25","Risk Level 2",""
"200","2010","BRINKER FLORIDA INC #130","SEAT","","ATTN LEGAL DEPT","3000 OLYMPUS BLVD","","","DALLAS","TX","75019","","744","CHILI'S HAMBURGER GRILL & BAR","","3530 SW ARCHER RD","","","GAINESVILLE","FL","326082411","11","Alachua","(352)373-3010","5","10","SEA1101714","20","20","06/01/2026","04/21/2025","232","Risk Level 2",""
"200","2010","CAPTAIN D'S LLC","SEAT","","ATTN: License Department","PO BOX 780358","","","WICHITA","KS","67278","13166851622","716","CAPTAIN D'S #3376","","804 S WALNUT","","","STARKE","FL","320914402","14","Bradford","904.964.8100","5","20","SEA1400094","20","20","06/01/2026","01/09/2025","70","Risk Level 2",""
"200","2010","CEDAR RIVER SEAFOOD OF STARKE","SEAT","","","900 S WALNUT ST","","","STARKE","FL","320914418","(352)964-8282","14","CEDAR RIVER SEAFOOD","","900 S WALNUT ST","","","STARKE","FL","320914418","14","Bradford","904.964.8282","5","20","SEA1400186","45","20","06/01/2025","02/12/2025","158","Risk Level 2",""
"200","2010","CHOP STIX CAFE INC","SEAT","","","3500 SW 13 ST","","","GAINESVILLE","FL","32608","","11","CHOP STIX CAFE","","3500 SW 13 ST","","","GAINESVILLE","FL","32608","11","Alachua","352 367 0003","5","10","SEA1102727","20","20","06/01/2026","12/13/2024","120","Risk Level 2",""
"200","2010","CLOCK RESTAURANT INC","SEAT","","","2010 N MAIN ST","","","GAINESVILLE ","FL","32609","352 375 1411","11","CLOCK RESTAURANT","","2010 N MAIN ST","","","GAINESVILLE","FL","32609","11","Alachua","352.375.1411","5","05","SEA1101280","20","20","06/01/2026","02/10/2025","105","Risk Level 2",""
"200","2010","CRACKER BARREL OLD COUNTRY STORE INC","SEAT","","Legal Dept. ","305 HARTMANN DR","","","LEBANON","TN","37087","","743","CRACKER BARREL #167","","4001 SW 43 ST","","","GAINESVILLE","FL","32608","11","Alachua","352.375.2424","5","10","SEA1102439","20","20","06/01/2026","02/19/2025","204","Risk Level 2",""
"200","2010","DOUGHERTY MIKE","SEAT","","BURGER BARN ","PO BOX 629","","","HAWTHORNE","FL","326400629","","11","BURGER BARN","","205 N US 301","","","HAWTHORNE","FL","32640","11","Alachua","(352)481-4655","5","20","SEA1101966","20","20","06/01/2026","06/23/2025","18","Risk Level 2",""
"200","2010","HAILE PLANTATION MGMT CORP","SEAT","","ATTN: Legal","5221 NORTH O'CONNOR BLVD","SUITE 300","","IRVING","TX","75039","972-243-6191","744","HAWKSTONE COUNTRY CLUB","","9905 SW 44 AVE","","","GAINESVILLE","FL","32608","11","Alachua","(352)335-0055","5","10","SEA1102595","20","20","06/01/2026","12/18/2024","96","Risk Level 2",""
"200","2010","HARRY'S OF GAINESVILLE LLC","SEAT","","C/O JUSTIN GRIFFIN","110 SE 1 ST STE A","","","GAINESVILLE","FL","32601","(352)372-1555","11","HARRYS OF GAINESVILLE","","110 SE 1 ST","","","GAINESVILLE","FL","326016825","11","Alachua","(352)372-1555","5","06","SEA1102437","20","20","06/01/2026","07/02/2025","198","Risk Level 2",""
"200","2010","HOOVER FOODS INC","SEAT","","HOOVER FOOD'S INC","4030 JOHN'S CREEK PKWY","","","SUWANEE","GA","30024","","710","WENDYS OLD FASHIONED HAMBURGER","","6700 NEWBERRY RD","","","GAINESVILLE","FL","326054313","11","Alachua","352.331.5681","5","06","SEA1101214","20","20","06/01/2026","06/30/2025","70","Risk Level 2",""
"200","2010","HOOVER FOODS INC","SEAT","","HOOVER FOODS INC ","4030 JOHN'S CREEK PKWY","","","SUWANEE","GA","30024","","11","WENDY'S OLD FASHION HAMBURGERS","","1711 N MAIN ST","","","GAINESVILLE","FL","326093650","11","Alachua","352.373-7210","5","05","SEA1101462","20","20","06/01/2026","02/06/2025","80","Risk Level 2",""
"200","2010","HOOVER FOODS INC","SEAT","","HOOVER FOODS INC","4030 JOHN'S CREEK PKWY","","","SUWANEE","GA","30024","","710","WENDY'S","","9225 NW 39 AVE","","","GAINESVILLE","FL","326065034","11","Alachua","352.336.5930","5","05","SEA1102472","20","20","06/01/2026","06/30/2025","88","Risk Level 2",""
"200","2010","HOOVER RESTAURANTS LLC","SEAT","","","4030 JOHNS CREEK PKWY","","","SUWANEE","GA","30024","","710","WENDYS","","16105 MARTIN L KING BLVD","","","ALACHUA","FL","32615","11","Alachua","386.418-4291","5","05","SEA1102731","20","20","06/01/2026","01/31/2025","88","Risk Level 2",""
"200","2010","ITALIAN GATOR INC","NOST","","","1045 SW 132ND ST","","","NEWBERRY","FL","32669","3674600","11","ITALIAN GATOR PIZZA","","1728 W UNIVERSITY AVE #A","","","GAINESVILLE","FL","32603","11","Alachua","3674600","5","10","NOS1102756","20","20","06/01/2026","05/30/2025","0","Risk Level 1",""
"200","2010","J CURT INC","SEAT","","","100 SW 75 ST STE 208","","","GAINESVILLE","FL","32607","","11","MCDONALDS RESTAURANT","","6003 NEWBERRY RD","","","GAINESVILLE","FL","32605","11","Alachua","352.331-0864","5","06","SEA1101218","20","20","06/01/2026","12/13/2024","130","Risk Level 1",""
"200","2010","J CURT INC","SEAT","","Darleen Randall","100 SW 75TH STREET","SUITE 208","","GAINESVILLE","FL","32607","352.331.9803","11","MCDONALD'S","","2880 NW 13 ST","","","GAINESVILLE","FL","32609","11","Alachua","352.377.7170","5","05","SEA1100975","20","20","06/01/2026","02/20/2025","129","Risk Level 1",""
"200","2010","J CURT INC","SEAT","","J CURT INC","100 SW 75 ST STE 208","","","GAINESVILLE","FL","32607","","11","MCDONALD'S 12870","","5110 NW 43 ST","","","GAINESVILLE","FL","32606-4455","11","Alachua","352-376-1965","5","05","SEA1102451","20","20","06/01/2026","02/11/2025","75","Risk Level 1",""
"200","2010","J CURT INC","SEAT","","J CURT INC","100 SW 75 ST STE 208","","","GAINESVILLE","FL","32607","","11","MCDONALDS","","1030 E UNIVERSITY AVE","","","GAINESVILLE","FL","32601","11","Alachua","352-376-0830","5","06","SEA1102456","20","20","06/01/2026","04/15/2025","75","Risk Level 1",""
"200","2010","J CURT INC","SEAT","","J CURT INC","100 SW 75 ST STE# 208","","","GAINESVILLE","FL","32607","","11","MCDONALDS","","3826 SW ARCHER RD","","","GAINESVILLE","FL","326082340","11","Alachua","(352)373-3826","5","10","SEA1101152","20","20","06/01/2026","05/28/2025","125","Risk Level 1",""
"200","2010","JCB OF GAINESVILLE INC","SEAT","","JCB INC ","PO BOX 1069","","","MICANOPY","FL","326671069","","11","CAFE RISQUE","","17035 SE CR 234","","","MICANOPY","FL","32667","11","Alachua","(352)466-3803","5","05","SEA1102230","20","20","06/01/2026","03/14/2025","60","Risk Level 2",""
"200","2010","KEYSTONE INN INC","SEAT","","PONS BELVIA & JOHN ","PO BOX 1777","","","KEYSTONE HEIGHTS","FL","326568228","","14","KEYSTONE INN (THE)","","208 W. STATE ROAD 100","","","KEYSTONE HEIGHTS","FL","32656","14","Bradford","(352)473-3331","5","20","SEA1400067","45","20","06/01/2025","03/14/2025","108","Risk Level 2",""
"200","2010","KPG INV INC","SEAT","","KPG INV INC ","8280 PRINCETON SQ BLVD SUITE 6","","","JACKSONVILLE","FL","32256","904-733-4440","26","KRYSTAL","","582 N TEMPLE AVE","","","STARKE","FL","32091","14","Bradford","904.368.8151","5","20","SEA1400206","20","20","06/01/2026","01/15/2025","52","Risk Level 2",""
