"Board Code","License Type Code","Licensee Name","Rank Code","Modifier Code","Mailing Name","Mailing Street Address","Mailing Address Line 2","Mailing Address Line 3","Mailing City","Mailing State Code","Mailing Zip Code","Primary Phone Number","Mailing County Code","Business Name","Filler","Location Street Address","Location Address Line 2","Location Address Line 3","Location City","Location State Code","Location Zip Code","Location County Code","Location County","Secondary Phone Number","District","Region","License Number","Primary Status Code","Secondary Status Code","License Expiry Date","Last Inspection Date","Number of Seats or Rental Units","Base Risk Level","Secondary Risk Level"
"200","2010","ACKLEY INVESTMENT II","SEAT","","","10359 W HALLS RIVER RD","","","HOMOSASSA","FL","34448","352.628.9544","19","NATURES RESORT","","10359 W HALLS RIVER RD","","","HOMOSASSA","FL","34448","19","Citrus","352.628.9544","3","26","SEA1901095","20","20","02/01/2026","06/02/2025","40","Risk Level 1",""
"200","2010","BRASSBOYS ENTERPRISES INC","SEAT","","","8690 N GOLF VIEW DR","","","CITRUS SPGS","FL","344345820","(352)489-5045","19","CITRUS SPGS GOLF&COUNTRY CLUB","","8690 N GOLF VIEW DR","","","CITRUS SPGS","FL","344345820","19","Citrus","(352)489-5045","3","25","SEA1900126","20","20","02/01/2026","05/14/2025","80","Risk Level 2",""
"200","2010","BUNCH WILLIAM","SEAT","","","606 NE US HWY 19","","","CRYSTAL RIVER","FL","34429","(352)795-2633","19","OYSTERS RESTAURANT","","606 NE US HWY 19","","","CRYSTAL RIVER","FL","34429","19","Citrus","(352)795-2633","3","26","SEA1900026","20","20","02/01/2026","02/12/2025","65","Risk Level 2",""
"200","2010","CALDWELL & DEAN INC","SEAT","","THE ROLLER BARN ","PO BOX 217","","","INVERNESS","FL","344510217","","19","ROLLER BARN THE","","1740 N US HWY 41","","","INVERNESS","FL","344502411","19","Citrus","(352)726-2044","3","25","SEA1900462","45","20","02/01/2024","11/19/2024","40","Risk Level 1",""
"200","2010","CITRUS HILLS GOLF&COUNTRY CLUB","SEAT","","CITRUS HILLS INVEST PROP","2476 N ESSEX AVE","","","HERNANDO","FL","34442","","19","GRILLE THE","","509 E HARTFORD ST","","","HERNANDO","FL","344423347","19","Citrus","(352)746-6855","3","25","SEA1900458","20","20","02/01/2026","02/05/2025","200","Risk Level 2",""
"200","2010","CITRUS HILLS GOLF&COUNTRY CLUB","SEAT","","CITRUS HILLS INVEST PROP","2476 N ESSEX AVE","","","HERNANDO","FL","344425348","","19","HAMPTON ROOM","","509 E HARTFORD ST","","","HERNANDO","FL","344423347","19","Citrus","(352)746-7655","3","25","SEA1900825","20","20","02/01/2026","11/19/2024","180","Risk Level 1",""
"200","2010","COACH'S HALFTIME INC","SEAT","","","114 W MAIN ST","","","INVERNESS","FL","344504853","(352)344-3333","19","COACH'S HALFTIME PUB","","114 W MAIN ST","","","INVERNESS","FL","344504853","19","Citrus","(352)344-3333","3","25","SEA1900929","20","20","02/01/2026","05/19/2025","200","Risk Level 2",""
"200","2010","CRYSTAL RIVER WINGS INC","SEAT","","","6738 W GULF TO LAKE HWY","","","CRYSTAL RIVER","FL","34429","5640377","19","BEEF O'BRADY'S","","6738 W GULF TO LAKE HWY","","","CRYSTAL RIVER","FL","34429","19","Citrus","352-564-0544","3","26","SEA1901152","20","20","02/01/2026","04/25/2025","82","Risk Level 2",""
"200","2010","ESCALANTE BLACK DIAMOND GOLF CLUB LLC","SEAT","","","3125 W BLACK DIAMOND CIR","","","LECANTO","FL","34461","352.746.0254","19","BLACK DIAMOND CLUB","","3125 W BLACK DIAMOND CIR","","","LECANTO","FL","34461","19","Citrus","(352)746-3440","3","26","SEA1900653","20","20","02/01/2026","01/15/2025","240","Risk Level 2",""
"200","2010","FOSTER FRANK D","NOST","","FRANK D FOSTER ","5045 W MEADOW ST","","","HOMOSASSA","FL","344462847","","19","FOSTERS DIXIE DOG","","6373 S SUNCOAST BLVD UNIT #3","HOWARD'S FLEA MARKET","","HOMOSASSA SPGS","FL","34446","19","Citrus","(352)628-3891","3","26","NOS1900232","20","20","02/01/2026","06/06/2025","0","Risk Level 1",""
