"Board Code","License Type Code","Licensee Name","Rank Code","Modifier Code","Mailing Name","Mailing Street Address","Mailing Address Line 2","Mailing Address Line 3","Mailing City","Mailing State Code","Mailing Zip Code","Primary Phone Number","Mailing County Code","Business Name","Filler","Location Street Address","Location Address Line 2","Location Address Line 3","Location City","Location State Code","Location Zip Code","Location County Code","Location County","Secondary Phone Number","District","Region","License Number","Primary Status Code","Secondary Status Code","License Expiry Date","Last Inspection Date","Number of Seats or Rental Units","Base Risk Level","Secondary Risk Level"
"200","2010","A W RIDGWAY INC","NOST","","","1300 THIRD ST SOUTH","","","NAPLES","FL","34102","(239)262-5500","21","RIDGEWAY BAR AND GRILL - TOP FLOOR PREP KITCHEN","","1300 S THIRD ST SO","","","NAPLES","FL","34102","21","Collier","239-262-5500","7","23","NOS2101135","20","20","12/01/2025","04/21/2025","0","Risk Level 2",""
"200","2010","A W RIDGWAY INC","SEAT","","","1300 THIRD ST SOUTH","","","NAPLES","FL","34102","(239)262-5500","21","RIDGWAY BAR AND GRILL","","1300 S THIRD ST","","","NAPLES","FL","34102","21","Collier","239-262-5500","7","23","SEA2100557","20","20","12/01/2025","04/21/2025","270","Risk Level 2",""
"200","2010","ACTION BUSINESS CORP","SEAT","","ACTION BUSINESS CORPORATION ","324 SW 16TH ST","","","BELLE GLADE","FL","33430","","21","POPEYE'S FAMOUS FRIED CHICKEN","","302 N 15 ST","","","IMMOKALEE","FL","34142","21","Collier","(941)657-4546","7","16","SEA2100873","20","20","12/01/2025","12/16/2024","60","Risk Level 2",""
"200","2010","ADELSON PAMELA S","SEAT","","SMOKEHOUSE RESTAURANT","415 COOPER ST","","","PUNTA GORDA","FL","33950-3900","(941)639-2000","18","SMOKEHOUSE RESTAURANT","","415 COOPER ST","","","PUNTA GORDA","FL","33950-3900","18","Charlotte","(941)639-2000","7","12","SEA1800584","20","20","12/01/2025","01/16/2025","60","Risk Level 2",""
"200","2010","AMIGO CAFE INC","SEAT","","AMIGO'S CAFE INC","11263 E TAMIAMI TRL","","","NAPLES","FL","34113","(239)732-1586","21","AMIGO'S CAFE","","11268 E TAMIAMI TRL","","","NAPLES","FL","34113","21","Collier","239-732-5655","7","24","SEA2101890","20","20","12/01/2025","02/10/2025","56","Risk Level 2",""
"200","2010","ANDRE COTTOLONI STEAKHOUSE INC","SEAT","","","2800 N TAMIAMI TRL","","","NAPLES","FL","34103","(941)263-5851","21","ANDRE'S STEAKHOUSE INC","","2800 N TAMIAMI TRL","","","NAPLES","FL","34103","21","Collier","239-263-5851","7","22","SEA2101936","20","20","12/01/2025","04/28/2025","150","Risk Level 2",""
"200","2010","ATA MAN INC","SEAT","","","2045 N BEACH RD","","","ENGLEWOOD","FL","34223","","68","LOCK N KEY RESTAURANT AND PUB","","2045 N BEACH RD","","","ENGLEWOOD","FL","34223","68","Sarasota","941-474-1517","7","08","SEA1800065","20","20","12/01/2025","04/17/2025","164","Risk Level 2",""
"200","2010","ATHENS GRECIAN DELIGHT INC","NOST","","","1441 TAMIAMI TRAIL #595","","","PORT CHARLOTTE","FL","339481001","(941)255-1550","18","ATHENS GRECIAN DELIGHT","","1441 TAMIAMI TRAIL #595","","","PORT CHARLOTTE","FL","339481001","18","Charlotte","(941)255-1550","7","09","NOS1801100","20","20","12/01/2025","03/18/2025","0","Risk Level 2",""
"200","2010","AUDUBON COUNTRY CLUB ASSOC INC","SEAT","","","625 AUDUBON BLVD","","","NAPLES","FL","34110","(941)597-2800","21","AUDUBON CC COURTSIDE CAFE","","625 AUDUBON BLVD","","","NAPLES","FL","34110","21","Collier","239.566.9800","7","21","SEA2101586","20","20","12/01/2025","03/24/2025","94","Risk Level 2",""
"200","2010","AUDUBON COUNTRY CLUB INC","SEAT","","","625 AUDUBON DR","","","NAPLES","FL","34110","(941)597-2800","21","AUDUBON CC MAIN DINING","","625 AUDUBON DR","","","NAPLES","FL","34110","21","Collier","(941)597-2800","7","21","SEA2101397","20","20","12/01/2025","04/14/2025","295","Risk Level 2",""
